PlayerName,CourseName,LayoutName,Päivämäärä,Kaikki,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-06 0745,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-06 0745,56,1.0,2,3,4,3,2,3,3,3,4,2.0,2.0,6.0,3.0,3.0,3.0,2.0,3.0,5.0,,,,,,
Jarkko,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-06 0745,57,2.0,3,3,3,3,2,4,3,3,3,2.0,3.0,5.0,5.0,4.0,3.0,3.0,2.0,3.0,,,,,,
Par,Varistonniitty,Main,2023-06-05 1437,60,,3,3,3,4,4,3,3,3,3,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Esko ,Varistonniitty,Main,2023-06-05 1437,73,13.0,4,4,4,3,4,3,3,3,5,8.0,5.0,3.0,3.0,4.0,5.0,5.0,3.0,4.0,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-06-04 1449,58,,3,3,3,3,4,3,3,3,3,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo - Kalliometsä (18 väylää),2023-06-04 1449,68,10.0,4,3,3,4,4,3,4,3,4,5.0,2.0,2.0,4.0,4.0,6.0,6.0,3.0,4.0,,,,,,
Par,Röyläntuvan Frisbeegolfkenttä,Main,2023-06-04 1219,29,,3,3,3,3,4,3,3,4,3,,,,,,,,,,,,,,,
Tume,Röyläntuvan Frisbeegolfkenttä,Main,2023-06-04 1219,37,8.0,4,3,5,4,4,5,3,6,3,,,,,,,,,,,,,,,
Esko ,Röyläntuvan Frisbeegolfkenttä,Main,2023-06-04 1219,33,4.0,2,5,4,4,4,4,2,5,3,,,,,,,,,,,,,,,
Sami,Röyläntuvan Frisbeegolfkenttä,Main,2023-06-04 1219,37,8.0,3,3,4,4,4,5,5,6,3,,,,,,,,,,,,,,,
Jarkko,Röyläntuvan Frisbeegolfkenttä,Main,2023-06-04 1219,31,2.0,3,3,3,3,3,5,4,3,4,,,,,,,,,,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-03 1412,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-03 1412,55,0.0,2,4,3,3,4,3,3,2,3,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Sami,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-03 1412,60,5.0,4,4,3,3,4,3,3,3,3,3.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,,
Tume,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-06-03 1412,60,5.0,3,2,4,3,3,3,2,5,4,3.0,4.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,,,,,,
Par,Kivikko Frisbeegolf Park,2023 Blue,2023-05-31 0700,56,,3,3,3,3,4,4,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Jarkko,Kivikko Frisbeegolf Park,2023 Blue,2023-05-31 0700,63,7.0,4,3,3,3,4,4,3,4,4,2.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,4.0,,,,,,
Esko ,Kivikko Frisbeegolf Park,2023 Blue,2023-05-31 0700,60,4.0,4,3,3,2,4,4,4,4,4,3.0,4.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,,,,,,
Par,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-29 1726,55,,3,3,3,3,3,3,3,3,3,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
Esko ,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-29 1726,63,8.0,3,3,4,3,3,4,3,4,5,4.0,3.0,6.0,2.0,4.0,3.0,3.0,3.0,3.0,,,,,,
Sami,Oittaan Ulkoilualue,Oittaa Frisbeegolf Espoo Camping (talvi 2022),2023-05-29 1726,63,8.0,3,3,4,4,3,3,3,4,4,3.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,,,,,,
Par,Kirkkonummen Rata,Vols 18 (2020),2023-05-28 1457,59,,3,4,3,3,4,3,3,3,3,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,,,,,,
Esko ,Kirkkonummen Rata,Vols 18 (2020),2023-05-28 1457,77,18.0,3,5,5,3,4,5,3,3,4,4.0,6.0,6.0,4.0,3.0,5.0,4.0,6.0,4.0,,,,,,
